demand_multiplier,workforce_multiplier,success,total_cost,production_cost,labor_cost,holding_cost,shortfall_cost,total_demand_units,shortfall_units,fill_rate,avg_machine_utilization,avg_labor_utilization
0.8,0.7,True,72544.1180952381,39339.83333333333,33200.86000000001,3.4247619047619224,0.0,5001.6,0.0,1.0,0.5133039312856182,0.7093792348955393
0.8,0.85,True,72540.69333333333,39339.83333333333,33200.86,0.0,0.0,5001.6,0.0,1.0,0.5133092420698775,0.5841946640316207
0.8,1.0,True,72540.69333333333,39339.83333333333,33200.86,0.0,0.0,5001.6,0.0,1.0,0.5133092420698775,0.4965654644268775
1.0,0.7,True,93242.8749206349,49576.823015873015,43559.306666666664,106.74523809523805,0.0,6252.0,0.0,1.0,0.6633672207513138,0.9187713873428159
1.0,0.85,True,91218.2011904762,48946.02083333335,42194.787500000006,77.3928571428574,0.0,6252.0,0.0,1.0,0.6491802743933823,0.7421456613771991
1.0,1.0,True,91079.03333333333,48913.833333333336,42165.2,0.0,0.0,6252.0,0.0,1.0,0.649308855780062,0.6307328722002635
1.2,0.7,True,615966.5366666666,53995.600000000006,47642.0,362.26999999999936,513966.66666666657,7502.4,513.9666666666666,0.9314930333404422,0.713339776771614,0.9976731601731602
1.2,0.85,True,113285.52980158728,59248.32063492062,53877.306666666664,159.90249999999986,0.0,7502.4,0.0,1.0,0.8020008936687996,0.9344300144300144
1.2,1.0,True,110683.05111111111,58715.89206349206,51872.10666666666,95.05238095238118,0.0,7502.4,0.0,1.0,0.7815936410728296,0.7760637806637806
1.4,0.7,True,1660376.8933333328,54183.766666666685,47642.0,34.46000000000005,1558516.666666666,8752.8,1558.5166666666662,0.8219407884714987,0.7140305071404045,0.9976731601731602
1.4,0.85,True,672462.374880952,63374.88174603175,57183.799999999996,71.15345238095169,551832.5396825393,8752.8,551.8325396825393,0.9369535988846381,0.8397981502271961,0.987054367201426
1.4,1.0,True,133764.0699206349,68945.6111111111,64356.98666666666,461.47214285714165,0.0,8752.8,0.0,1.0,0.9397129019244804,0.9475782828282828
1.6,0.7,True,2827021.2000000007,53879.2,47642.0,0.0,2725500.0000000005,10003.2,2725.5000000000005,0.727537188099808,0.7147012311712759,0.9976731601731602
1.6,0.85,True,1647629.2366666668,64297.28333333333,57183.799999999996,814.8199999999993,1525333.3333333335,10003.2,1525.333333333334,0.8475154617189166,0.8399749114776064,0.987054367201426
1.6,1.0,True,841047.4380952383,71394.75079365079,65101.6,225.69047619047674,704325.396825397,10003.2,704.3253968253971,0.9295899915201739,0.9480441467030938,0.9576515151515153
